set NODES := s A B C D E F G H t;

set INTERMEDIATE_NODES := A B C D E F G H;

param Z_F := 15;
param Z_G := 10;
param Z_H := 10;

param W_A := 10;
param W_B := 13;
param W_C := 22;

param COST: s    A    B    C    D    E    F    G    H    t :=
    s       0    0    0    0    0    0    0    0    0    0
    A       0    0    0    0    3    6    0    0    0    0
    B       0    0    0    0    6    3    0    0    0    0
    C       0    0    0    0    4    5    0    0    0    0
    D       0    0    0    0    0    2    5    7    3    0
    E       0    0    0    0    0    0    5    4    2    0
    F       0    0    0    0    0    0    0    0    0    0
    G       0    0    0    0    0    0    0    0    0    0
    H       0    0    0    0    0    0    0    0    0    0
    t       0    0    0    0    0    0    0    0    0    0;

param CAPACITY: s    A    B    C    D    E    F    G    H    t :=
    s           0    10   13   22    0    0    0    0    0    0
    A           0    0    0    0    8   10    0    0    0    0
    B           0    0    0    0   10   13    0    0    0    0
    C           0    0    0    0   10    8    0    0    0    0
    D           0    0    0    0    0   20   16    6   10    0
    E           0    0    0    0    0    0    7    4    2    0
    F           0    0    0    0    0    0    0    0    0   15
    G           0    0    0    0    0    0    0    0    0   10
    H           0    0    0    0    0    0    0    0    0   10
    t           0    0    0    0    0    0    0    0    0    0;
